page,nb pages,type,date,place/editor/letter,zones’ types specials,subcorpus
1845_05_14_CHA,6,manuscrit,1845,charavay,"Title , numbering",19-man
1856_10_LAV,4,manuscrit,1856,laverdet,"Title , numbering",19-man
1857_02_05_JA1_bpt6k9677856h,6,manuscrit,1857,charavay,"numbering, title",19-man
1866_04_23_GAB_0004.jpg,7,manuscrit,1866,charavay,"numbering, title",19-man
1870_03_RDA_N025-1.jpg,5,manuscrit,1870,charavay,"title et stamp, numbering",19-man
1871_07_RDA_N027-2.png,3,manuscrit,1871,charavay,numbering ,19-man
1871_08_RDA_N028-2.png,3,manuscrit,1871,charavay,numbering ,19-man
1873_05_RDA_N035-13.png,4,manuscrit,1873,charavay,numbering ,19-man
1877_01_RDA_N050-10.png,4,manuscrit,1877,charavay,numbering ,19-man
1880_02_RDA_N060-5.jpg,2,manuscrit,1880,charavay,numbering ,19-man
1881_11_RDA_N070-6.jpg,2,manuscrit,1881,charavay,numbering ,19-man
1883_10_RDA_N080-2.png,5,manuscrit,1883,charavay,numbering ,19-man
1885_12_RDA_N095_gt_0001.jpg,2,manuscrit,1885,charavay,title et stamp numbering runnintitle,19-man
1887_bovet_bpt6k6325943w_gt_0069.jpg,14,manuscrit,1887,Bovet,runningtitle et figure numbering,19-man
1896_05_30_ETI_gt_typo_0009.jpg,7,manuscrit,1896,charavay ,numbering ,19-man
1899_02_LAD_N293_gt_0003.JPG,6,manuscrit,1899,charavay,numbering ,19-man
1912_XX_Kra_12_gt_bpt6k6527450d_0004.jpg,9,manuscrit,1912,Kra,,20-man
1919_04_LAD_N507_2.jpg,8,manuscrit,1919,charavay,title  ,20-man
Annuaire_1898 1043.tif,50,annuaire,1898,M,Numbering 2 main,19-an
Cat_Courbet_1882-1_typo_0001.jpg,19,expo,1882,Paris (Beaux Arts),numbering ,19-exp
Cat_Inde_1892_typo_0001.jpg,5,expo,1892,Paris (Artistes indépendants),numbering ,19-exp
Cat_Inde_1913_typo_0001.jpg,7,expo,1913,Paris (Artistes indépendants),numbering ,20-exp
Cat_Inde_1923_typo_0001.jpg,5,expo,1923,Paris (Artistes indépendants),numbering ,20-exp
Cat_Lux_1818_typo_0003.jpg,2,expo,1923,Paris (Artistes indépendants),numbering,19-exp
Cat_Lux_1867_typo_0001.jpg,4,expo,1867,Paris(Palais Luxembourg),runningtitle numbering,19-exp
Cat_Nancy_1843_typo_0001.jpg,4,expo,1843,Nancy (Société des Beaux Arts de Lorraine),title et stamp,19-exp
Cat_Nancy_1849_typo_0001.jpg,5,expo,1849,Nancy (Société des Beaux Arts de Lorraine),numbering ,19-exp
Cat_Nancy_1892_typo_0001.jpg,5,expo,1892,Nancy (Société des Beaux Arts de Lorraine),numbering ,19-exp
Cat_Paris_1961_typo_0002.jpg,5,expo,1961,Paris (Biennale),runningtitle,20-exp
Cat_Paris_1965_typo_0002.jpg,4,expo,1965,Paris (Biennale),runningtitle numbering,20-exp
Cat_Paris_1969_typo_0002.jpg,5,expo,1969,Paris (Biennale),runningtitle numbering,20-exp
Cat_Rouen_1853_typo_0001.jpg,5,expo,1853,Rouen (Musée),numbering,19-exp
Cat_Rouen_1869_typo_0001.jpg,6,expo,1869,Rouen (Musée),numbering ,19-exp
Cat_Rouen_1888_typo_0001.jpg,7,expo,1888,Rouen (Musée),runningtitle numbering,19-exp
Cat_SaoPaulo_1951_0002.jpg,6,expo,1951,Sao Paulo,numbering ,20-exp
Cat_SaoPaulo_1972_typo_0001.jpg,5,expo,1972,Sao Paulo,numbering ,20-exp
Cat_Strasbourg_1884-1_typo_0001.jpg,15,expo,1884,Strasbourg,numbering,19-exp
Cat_Venezia_1895_typo_0001.jpg,13,expo,1895,venise,runningtitle numbering,19-exp
Cat_Independant_1935,220,expo,1935,Paris (Artistes indépendants),numbering,20-exp
CatRefuses_1863,65,expo,1863,Paris (Artistes refusés),numbering,19-exp
CatRoseCroix_1893,24,expo,1893,Paris(RoseCroix),numbering,20-exp
Cat_Rouen_1862,5,expo,1872,Rouen (Musée),numbering,19-exp
Cat_Rouen_1860,6,expo,1860,Rouen (Musée),numbering,19-exp
Cat_Rouen_1869,3,expo,1869,Rouen (Musée),numbering,19-exp
Cat_Rouen_1878,3,expo,1878,Rouen (Musée),numbering,19-exp
Cat_Rouen_1888 ,2,expo,1888,Rouen (Musée),numbering,19-exp
Cat_Rouen_1891,4,expo,1891,Rouen (Musée),numbering,19-exp
Cat_Rouen_1895,6,expo,1895,Rouen (Musée),numbering,19-exp
